DateKey,FullDate,DayOf_Week,DayOf_Month,_Month,_MonthName,_Year,_Quarter,IsWeekend,RowCycleId,InsertDate
-1,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,-1,2025-08-27 16:36:00
20210101,2021-01-01,6,1,1,January,2021,1,0,1,2025-08-27 16:36:00
20210102,2021-01-02,7,2,1,January,2021,1,1,1,2025-08-27 16:36:00
20210103,2021-01-03,1,3,1,January,2021,1,1,1,2025-08-27 16:36:00
20210104,2021-01-04,2,4,1,January,2021,1,0,1,2025-08-27 16:36:00
20210105,2021-01-05,3,5,1,January,2021,1,0,1,2025-08-27 16:36:00
20210106,2021-01-06,4,6,1,January,2021,1,0,1,2025-08-27 16:36:00
20210107,2021-01-07,5,7,1,January,2021,1,0,1,2025-08-27 16:36:00
20210108,2021-01-08,6,8,1,January,2021,1,0,1,2025-08-27 16:36:00
20210109,2021-01-09,7,9,1,January,2021,1,1,1,2025-08-27 16:36:00
20210110,2021-01-10,1,10,1,January,2021,1,1,1,2025-08-27 16:36:00
20210111,2021-01-11,2,11,1,January,2021,1,0,1,2025-08-27 16:36:00
20210112,2021-01-12,3,12,1,January,2021,1,0,1,2025-08-27 16:36:00
20210113,2021-01-13,4,13,1,January,2021,1,0,1,2025-08-27 16:36:00
20210114,2021-01-14,5,14,1,January,2021,1,0,1,2025-08-27 16:36:00
20210115,2021-01-15,6,15,1,January,2021,1,0,1,2025-08-27 16:36:00
20210116,2021-01-16,7,16,1,January,2021,1,1,1,2025-08-27 16:36:00
20210117,2021-01-17,1,17,1,January,2021,1,1,1,2025-08-27 16:36:00
20210118,2021-01-18,2,18,1,January,2021,1,0,1,2025-08-27 16:36:00
20210119,2021-01-19,3,19,1,January,2021,1,0,1,2025-08-27 16:36:00
20210120,2021-01-20,4,20,1,January,2021,1,0,1,2025-08-27 16:36:00
20210121,2021-01-21,5,21,1,January,2021,1,0,1,2025-08-27 16:36:00
20210122,2021-01-22,6,22,1,January,2021,1,0,1,2025-08-27 16:36:00
20210123,2021-01-23,7,23,1,January,2021,1,1,1,2025-08-27 16:36:00
20210124,2021-01-24,1,24,1,January,2021,1,1,1,2025-08-27 16:36:00
20210125,2021-01-25,2,25,1,January,2021,1,0,1,2025-08-27 16:36:00
20210126,2021-01-26,3,26,1,January,2021,1,0,1,2025-08-27 16:36:00
20210127,2021-01-27,4,27,1,January,2021,1,0,1,2025-08-27 16:36:00
20210128,2021-01-28,5,28,1,January,2021,1,0,1,2025-08-27 16:36:00
20210129,2021-01-29,6,29,1,January,2021,1,0,1,2025-08-27 16:36:00
20210130,2021-01-30,7,30,1,January,2021,1,1,1,2025-08-27 16:36:00
20210131,2021-01-31,1,31,1,January,2021,1,1,1,2025-08-27 16:36:00
20210201,2021-02-01,2,1,2,February,2021,1,0,1,2025-08-27 16:36:00
20210202,2021-02-02,3,2,2,February,2021,1,0,1,2025-08-27 16:36:00
20210203,2021-02-03,4,3,2,February,2021,1,0,1,2025-08-27 16:36:00
20210204,2021-02-04,5,4,2,February,2021,1,0,1,2025-08-27 16:36:00
20210205,2021-02-05,6,5,2,February,2021,1,0,1,2025-08-27 16:36:00
20210206,2021-02-06,7,6,2,February,2021,1,1,1,2025-08-27 16:36:00
20210207,2021-02-07,1,7,2,February,2021,1,1,1,2025-08-27 16:36:00
20210208,2021-02-08,2,8,2,February,2021,1,0,1,2025-08-27 16:36:00
20210209,2021-02-09,3,9,2,February,2021,1,0,1,2025-08-27 16:36:00
20210210,2021-02-10,4,10,2,February,2021,1,0,1,2025-08-27 16:36:00
20210211,2021-02-11,5,11,2,February,2021,1,0,1,2025-08-27 16:36:00
20210212,2021-02-12,6,12,2,February,2021,1,0,1,2025-08-27 16:36:00
20210213,2021-02-13,7,13,2,February,2021,1,1,1,2025-08-27 16:36:00
20210214,2021-02-14,1,14,2,February,2021,1,1,1,2025-08-27 16:36:00
20210215,2021-02-15,2,15,2,February,2021,1,0,1,2025-08-27 16:36:00
20210216,2021-02-16,3,16,2,February,2021,1,0,1,2025-08-27 16:36:00
20210217,2021-02-17,4,17,2,February,2021,1,0,1,2025-08-27 16:36:00
20210218,2021-02-18,5,18,2,February,2021,1,0,1,2025-08-27 16:36:00
20210219,2021-02-19,6,19,2,February,2021,1,0,1,2025-08-27 16:36:00
20210220,2021-02-20,7,20,2,February,2021,1,1,1,2025-08-27 16:36:00
20210221,2021-02-21,1,21,2,February,2021,1,1,1,2025-08-27 16:36:00
20210222,2021-02-22,2,22,2,February,2021,1,0,1,2025-08-27 16:36:00
20210223,2021-02-23,3,23,2,February,2021,1,0,1,2025-08-27 16:36:00
20210224,2021-02-24,4,24,2,February,2021,1,0,1,2025-08-27 16:36:00
20210225,2021-02-25,5,25,2,February,2021,1,0,1,2025-08-27 16:36:00
20210226,2021-02-26,6,26,2,February,2021,1,0,1,2025-08-27 16:36:00
20210227,2021-02-27,7,27,2,February,2021,1,1,1,2025-08-27 16:36:00
20210228,2021-02-28,1,28,2,February,2021,1,1,1,2025-08-27 16:36:00
20210301,2021-03-01,2,1,3,March,2021,1,0,1,2025-08-27 16:36:00
20210302,2021-03-02,3,2,3,March,2021,1,0,1,2025-08-27 16:36:00
20210303,2021-03-03,4,3,3,March,2021,1,0,1,2025-08-27 16:36:00
20210304,2021-03-04,5,4,3,March,2021,1,0,1,2025-08-27 16:36:00
20210305,2021-03-05,6,5,3,March,2021,1,0,1,2025-08-27 16:36:00
20210306,2021-03-06,7,6,3,March,2021,1,1,1,2025-08-27 16:36:00
20210307,2021-03-07,1,7,3,March,2021,1,1,1,2025-08-27 16:36:00
20210308,2021-03-08,2,8,3,March,2021,1,0,1,2025-08-27 16:36:00
20210309,2021-03-09,3,9,3,March,2021,1,0,1,2025-08-27 16:36:00
20210310,2021-03-10,4,10,3,March,2021,1,0,1,2025-08-27 16:36:00
20210311,2021-03-11,5,11,3,March,2021,1,0,1,2025-08-27 16:36:00
20210312,2021-03-12,6,12,3,March,2021,1,0,1,2025-08-27 16:36:00
20210313,2021-03-13,7,13,3,March,2021,1,1,1,2025-08-27 16:36:00
20210314,2021-03-14,1,14,3,March,2021,1,1,1,2025-08-27 16:36:00
20210315,2021-03-15,2,15,3,March,2021,1,0,1,2025-08-27 16:36:00
20210316,2021-03-16,3,16,3,March,2021,1,0,1,2025-08-27 16:36:00
20210317,2021-03-17,4,17,3,March,2021,1,0,1,2025-08-27 16:36:00
20210318,2021-03-18,5,18,3,March,2021,1,0,1,2025-08-27 16:36:00
20210319,2021-03-19,6,19,3,March,2021,1,0,1,2025-08-27 16:36:00
20210320,2021-03-20,7,20,3,March,2021,1,1,1,2025-08-27 16:36:00
20210321,2021-03-21,1,21,3,March,2021,1,1,1,2025-08-27 16:36:00
20210322,2021-03-22,2,22,3,March,2021,1,0,1,2025-08-27 16:36:00
20210323,2021-03-23,3,23,3,March,2021,1,0,1,2025-08-27 16:36:00
20210324,2021-03-24,4,24,3,March,2021,1,0,1,2025-08-27 16:36:00
20210325,2021-03-25,5,25,3,March,2021,1,0,1,2025-08-27 16:36:00
20210326,2021-03-26,6,26,3,March,2021,1,0,1,2025-08-27 16:36:00
20210327,2021-03-27,7,27,3,March,2021,1,1,1,2025-08-27 16:36:00
20210328,2021-03-28,1,28,3,March,2021,1,1,1,2025-08-27 16:36:00
20210329,2021-03-29,2,29,3,March,2021,1,0,1,2025-08-27 16:36:00
20210330,2021-03-30,3,30,3,March,2021,1,0,1,2025-08-27 16:36:00
20210331,2021-03-31,4,31,3,March,2021,1,0,1,2025-08-27 16:36:00
20210401,2021-04-01,5,1,4,April,2021,2,0,1,2025-08-27 16:36:00
20210402,2021-04-02,6,2,4,April,2021,2,0,1,2025-08-27 16:36:00
20210403,2021-04-03,7,3,4,April,2021,2,1,1,2025-08-27 16:36:00
20210404,2021-04-04,1,4,4,April,2021,2,1,1,2025-08-27 16:36:00
20210405,2021-04-05,2,5,4,April,2021,2,0,1,2025-08-27 16:36:00
20210406,2021-04-06,3,6,4,April,2021,2,0,1,2025-08-27 16:36:00
20210407,2021-04-07,4,7,4,April,2021,2,0,1,2025-08-27 16:36:00
20210408,2021-04-08,5,8,4,April,2021,2,0,1,2025-08-27 16:36:00
20210409,2021-04-09,6,9,4,April,2021,2,0,1,2025-08-27 16:36:00
20210410,2021-04-10,7,10,4,April,2021,2,1,1,2025-08-27 16:36:00
20210411,2021-04-11,1,11,4,April,2021,2,1,1,2025-08-27 16:36:00
20210412,2021-04-12,2,12,4,April,2021,2,0,1,2025-08-27 16:36:00
20210413,2021-04-13,3,13,4,April,2021,2,0,1,2025-08-27 16:36:00
20210414,2021-04-14,4,14,4,April,2021,2,0,1,2025-08-27 16:36:00
20210415,2021-04-15,5,15,4,April,2021,2,0,1,2025-08-27 16:36:00
20210416,2021-04-16,6,16,4,April,2021,2,0,1,2025-08-27 16:36:00
